age,gender,primetyp,PILSF_total_w1,educationavg,goalsavg,nounsavg,religionavg
18,1,1,16,2.666666667,4.285714286,3.538461538,4
19,1,1,24,3.444444444,3.428571429,3.230769231,4.5
18,1,1,28,2.555555556,2.857142857,2.923076923,3
18,1,1,25,3.555555556,4.857142857,3.153846154,3
18,1,1,22,4.666666667,4.571428571,3.384615385,3
19,1,1,24,4.444444444,5,3.692307692,5
19,1,1,26,4.777777778,4.714285714,3.615384615,4
19,1,1,21,4,4.285714286,3.076923077,4.5
20,1,1,24,4.111111111,4.285714286,3.846153846,3
19,1,1,22,3,3.857142857,3.153846154,3.5
19,1,1,21,3.444444444,4,3.384615385,2.5
20,1,1,28,3.666666667,4.571428571,2.846153846,3.5
18,1,1,24,3.666666667,4.571428571,3.538461538,3
19,1,1,25,3.888888889,4.571428571,3.307692308,4.5
18,1,1,22,4.222222222,4.571428571,3.307692308,3
19,1,1,24,3.222222222,3.714285714,3.230769231,3
18,1,1,22,3.888888889,4.714285714,3.153846154,3.5
18,1,2,22,2.666666667,2.285714286,3.076923077,4
19,1,2,16,2.666666667,2.714285714,3.230769231,2.5
18,1,2,20,3.111111111,2.571428571,2.384615385,4
21,1,2,24,4.888888889,4.428571429,2,3
19,1,2,28,4.555555556,5,2.538461538,5
18,1,2,19,4.111111111,4.571428571,4.076923077,4
18,1,2,20,4.444444444,4.142857143,3.615384615,3
32,1,2,18,3.888888889,4,3.769230769,3.5
24,1,2,24,4.555555556,5,2.923076923,3
18,1,2,26,4.888888889,5,3.076923077,3
21,1,2,21,3.555555556,3.857142857,3.076923077,3
22,1,2,24,4.555555556,4.714285714,2.538461538,3.5
20,1,2,22,3.888888889,4.142857143,3.307692308,4
21,1,2,20,4.222222222,4.571428571,3,3.5
18,1,2,23,4.444444444,4.428571429,2.846153846,3.5
18,1,2,20,4.333333333,4.428571429,2.923076923,3.5
19,2,1,26,5,5,5,5
18,2,1,24,3,3.428571429,3.307692308,1.5
18,2,1,22,3.111111111,4.714285714,3.076923077,3.5
20,2,1,22,4.777777778,4.857142857,3.692307692,2.5
18,2,1,24,3.777777778,4.857142857,2.384615385,3.5
18,2,1,27,3.888888889,5,2.769230769,4.5
18,2,1,21,2.777777778,4,2.615384615,3
20,2,1,10,3.444444444,4.857142857,3.615384615,3.5
18,2,1,23,4,3.714285714,3.615384615,3
18,2,1,22,3.777777778,4.714285714,3.923076923,5
23,2,1,23,4.555555556,4.857142857,2.692307692,4
41,2,1,26,4.777777778,5,4.076923077,5
18,2,1,25,4.777777778,5,3.307692308,3
21,2,1,24,4.666666667,4.571428571,4.153846154,4
18,2,1,28,5,5,4,4
18,2,1,25,4.666666667,5,3.769230769,5
20,2,1,20,4.111111111,4.714285714,3.615384615,2.5
19,2,1,21,3.555555556,3.571428571,3.307692308,2.5
22,2,1,22,4.444444444,4.571428571,4.153846154,4.5
18,2,1,23,3.111111111,4.142857143,3.538461538,4
19,2,1,22,3.111111111,4.285714286,3.153846154,3.5
18,2,1,28,4.777777778,4.714285714,3.538461538,4
20,2,1,28,4.444444444,5,3.769230769,5
19,2,1,25,3.666666667,4.857142857,3.692307692,4
19,2,1,18,3.555555556,4.571428571,3.538461538,4.5
19,2,1,18,4.444444444,4.714285714,3.076923077,4.5
18,2,1,19,3,4,3.384615385,3.5
20,2,1,21,4.333333333,4.428571429,3.307692308,4.5
19,2,1,27,4.333333333,4.857142857,3.923076923,3
18,2,1,27,4.222222222,4.857142857,4.230769231,3.5
18,2,1,25,4.555555556,4.571428571,3.384615385,3.5
18,2,1,19,4,4,3.384615385,4
18,2,1,25,3.444444444,4.428571429,3.307692308,3
19,2,1,25,4.666666667,4.857142857,3.538461538,4
19,2,1,25,4.333333333,5,3.153846154,4
18,2,1,25,3.555555556,4.571428571,3.153846154,3.5
18,2,1,22,4.111111111,4.428571429,3.538461538,4.5
21,2,1,27,4.555555556,4.857142857,3.769230769,3.5
19,2,1,22,4.555555556,4.714285714,3.461538462,4
18,2,1,27,4.222222222,4.857142857,4,3.5
19,2,1,20,3.555555556,3.714285714,3.076923077,3
18,2,1,28,4,4.857142857,3.230769231,3.5
19,2,1,26,3.333333333,3.857142857,3.461538462,3
20,2,1,22,3.333333333,4.142857143,3,3.5
18,2,1,25,4.444444444,4.857142857,3.384615385,3.5
19,2,1,18,4.444444444,4.714285714,3.384615385,4
21,2,1,22,4.111111111,4.571428571,3.461538462,3
22,2,1,19,3.333333333,4,3.307692308,3
18,2,1,17,3.777777778,4,3.230769231,3
18,2,1,25,4.222222222,4.428571429,3.384615385,4
20,2,1,23,3.666666667,4.428571429,3.384615385,4
18,2,1,25,3.888888889,4.571428571,3.615384615,4
18,2,2,23,4.666666667,3.571428571,3.153846154,5
21,2,2,27,5,5,5,5
20,2,2,21,4.222222222,4.571428571,3.538461538,2
21,2,2,28,4.333333333,4.428571429,1.615384615,3
18,2,2,15,5,5,2.076923077,4.5
19,2,2,24,4,4.142857143,1.846153846,4.5
19,2,2,21,2.888888889,3.428571429,2.153846154,3
19,2,2,25,4.888888889,4.428571429,2.076923077,4
43,2,2,23,4.555555556,5,3.384615385,2.5
21,2,2,28,4.555555556,4.428571429,1.923076923,4
18,2,2,27,4.777777778,5,2.384615385,5
19,2,2,25,4.777777778,4.428571429,2.692307692,2.5
19,2,2,27,4.666666667,4.714285714,2.230769231,3
19,2,2,23,4.888888889,5,4.307692308,5
18,2,2,22,4.333333333,4.714285714,3,2.5
18,2,2,24,4.888888889,4.857142857,4.153846154,3.5
20,2,2,25,5,5,3.692307692,3
21,2,2,20,3.888888889,4.285714286,3.307692308,5
20,2,2,15,4.777777778,4.285714286,3.384615385,3
18,2,2,22,4.222222222,4,3.153846154,2.5
18,2,2,26,3.888888889,4.714285714,3.538461538,4
19,2,2,19,4.888888889,4.571428571,2.384615385,4
18,2,2,22,4.777777778,4.428571429,3.538461538,5
18,2,2,26,4.888888889,5,4.230769231,4
19,2,2,28,4.777777778,4.857142857,4.230769231,4.5
18,2,2,24,4.777777778,5,4.230769231,4.5
19,2,2,17,3.555555556,4.285714286,3,4
20,2,2,26,4.222222222,4.142857143,3,2.5
19,2,2,24,5,5,4.153846154,4
19,2,2,25,5,4.857142857,2.923076923,5
19,2,2,26,4.111111111,4.571428571,3.153846154,5
18,2,2,22,4.555555556,4.857142857,2.692307692,3
20,2,2,24,4.444444444,4.428571429,2.384615385,4.5
18,2,2,22,4,4.714285714,3.384615385,4.5
18,2,2,22,4,4.714285714,2.692307692,4
21,2,2,15,4.444444444,4.285714286,2.538461538,4.5
18,2,2,23,4.777777778,5,2.538461538,4
18,2,2,25,4.444444444,4.428571429,3.384615385,5
18,2,2,23,4.888888889,5,3,5
19,2,2,20,4.111111111,4.285714286,3.769230769,3.5
18,2,2,23,4.888888889,4.714285714,2.692307692,4.5
22,2,2,17,4.666666667,4.142857143,3.192307692,4
19,2,2,22,4.444444444,5,3.769230769,4.5
19,2,2,28,4.555555556,4.714285714,2.769230769,3
18,2,2,25,4.444444444,4.857142857,3.230769231,5
18,2,2,25,4.666666667,4.571428571,2.461538462,3.5
18,2,2,26,4.222222222,4.857142857,3.461538462,4.5
21,2,2,25,4,4.428571429,2.769230769,4.5
18,2,2,26,4.666666667,4.857142857,3.615384615,5
22,2,2,23,4.222222222,3.857142857,3.153846154,3.5
18,2,2,13,4,3.857142857,2.615384615,3
18,2,2,20,4.888888889,5,3.923076923,4
19,2,2,23,4.111111111,4.714285714,3,3.5
18,2,2,26,4.888888889,4.571428571,3.615384615,4
19,2,2,24,4.444444444,5,3.230769231,4.5
18,2,2,20,4.222222222,4.714285714,3,4.5
21,2,2,24,4.333333333,4.714285714,3.692307692,4
21,2,2,20,4.444444444,5,3.384615385,4
18,2,2,19,4.777777778,5,3.769230769,4.5
18,2,2,25,4.777777778,5,3.153846154,3.5
18,2,2,23,4.555555556,4.714285714,2.692307692,3.5
19,2,2,22,4.555555556,4.857142857,3.692307692,4.5
18,2,2,24,4.666666667,4.571428571,3.538461538,3.5
19,2,2,25,4.777777778,4.571428571,3.384615385,4.5
19,2,2,22,4.777777778,4.714285714,2.769230769,4
19,2,2,21,4.333333333,4.428571429,3.461538462,4.5
19,2,2,24,4,4.285714286,3.307692308,4
18,2,2,27,4.666666667,4.714285714,3.538461538,4.5
18,2,2,25,4.888888889,5,3.384615385,4.5
18,2,2,24,4.777777778,5,3.384615385,4.5
21,2,2,26,4.444444444,4.714285714,3.230769231,4.5
19,2,2,20,4.777777778,4.857142857,3.538461538,4
22,2,2,28,4.555555556,4.571428571,3.153846154,3.5
19,2,2,24,4.666666667,4.714285714,3,4
