id,type,present,avaliable,affordable,mastery,ambiguity,risktaking,PP.clear.choice,NP.clear.choice,PF.clear.choice,NF.clear.choice
64232,Probability,OR,3.222222222,3.625,2.571428571,3.833333333,3.166666667,6,5,6,6
63741,Probability,OR,3.222222222,3.5,2.142857143,3.333333333,3,2,2,4,4
64710,Probability,OR,3.333333333,4.125,2.714285714,3.166666667,2.833333333,5,5,4,3
64901,Probability,OR,3.777777778,5.25,2.714285714,4,3,5,5,5,4
64939,Probability,OR,3.111111111,2.75,3.142857143,3.666666667,4.333333333,6,7,6,5
64555,Probability,OR,3.444444444,3.625,2,3.166666667,3,5,5,5,5
63783,Probability,OR,3.666666667,3.625,3.142857143,3.666666667,3,5,5,4,3
64941,Probability,OR,2.777777778,4.625,1.142857143,3.333333333,3.5,5,3,2,2
64544,Probability,OR,3.111111111,4.75,2,2.5,3,4,6,4,5
64492,Probability,OR,2.444444444,4.625,3.142857143,2.666666667,3.333333333,5,6,5,5
63868,Probability,OR,4.333333333,5.375,2.571428571,4,2.833333333,6,5,3,3
64938,Probability,OR,3.222222222,3.875,2.571428571,3,2.833333333,5,5,5,3
64123,Probability,OR,3.777777778,5.25,3,3.333333333,3,6,6,6,4
64434,Probability,OR,3.222222222,4.25,3,3.5,2.333333333,5,6,5,5
63982,Probability,OR,3.222222222,3.625,2.285714286,4.333333333,2.833333333,6,6,4,5
64871,Probability,OR,3.222222222,4.625,2.857142857,3.5,3,3,3,3,3
64194,Probability,OR,2.555555556,4.625,2.571428571,3.166666667,3.333333333,5,5,3,3
64611,Probability,OR,3,3,2.285714286,3.833333333,4,7,6,5,6
64301,Probability,OR,3.111111111,4,3.142857143,3.166666667,3.333333333,5,4,5,4
64423,Probability,OR,2.666666667,4.25,2.428571429,3,3.333333333,1,2,5,3
64126,Probability,OR,2.333333333,3.125,2,2.5,4,6,3,6,5
64150,Probability,OR,1.888888889,5.375,2.571428571,2.833333333,4.333333333,5,6,5,6
64476,Probability,OR,3.333333333,3.625,2.857142857,3,3.333333333,7,6,6,6
64729,Probability,OR,3.222222222,3.5,3.428571429,3.5,2.666666667,6,6,6,6
64495,Probability,OR,3.222222222,5.5,1.857142857,3,3.833333333,5,6,5,5
64298,Probability,OR,3,4.375,2.428571429,3.833333333,2.333333333,3,6,6,5
63813,Probability,OR,3.444444444,5.75,1,2.833333333,1.833333333,7,7,6,7
64446,Probability,OR,2.777777778,4.5,3.142857143,2.833333333,4.333333333,6,6,6,5
63680,Probability,OR,2.777777778,3,2.571428571,4.166666667,4.333333333,4,7,4,6
64000,Probability,OR,2.444444444,4.5,2.285714286,3.333333333,3.166666667,5,5,3,5
63699,Probability,OR,2.888888889,5,3.285714286,3,2.833333333,5,5,5,5
64348,Probability,OR,4.333333333,3.375,2.571428571,3.333333333,1.5,6,6,7,6
64534,Probability,OR,3.888888889,4.625,3.571428571,3.666666667,2.833333333,5,7,5,2
64404,Probability,OR,2.666666667,4.75,2,2.666666667,3.166666667,5,5,2,2
64683,Probability,OR,3.888888889,4.875,1.142857143,3.333333333,1.5,6,6,7,6
63666,Probability,OR,2.555555556,5,2.714285714,3.666666667,1.666666667,3,4,6,4
64463,Probability,OR,2.777777778,4.625,2,3,2.166666667,7,6,7,6
64134,Probability,OR,3.777777778,3.875,3,3.333333333,3,6,5,6,6
64896,Probability,OR,3.777777778,4.625,3.142857143,3.833333333,2.666666667,5,4,3,1
64400,Probability,OR,3.333333333,6,3.285714286,3.333333333,2.5,7,7,4,7
64987,Probability,OR,2.444444444,4,2.714285714,2.833333333,2.333333333,6,6,5,4
64346,Probability,OR,3.333333333,4.625,3.428571429,3.333333333,3.333333333,4,4,5,4
64282,Probability,OR,3.111111111,3.5,2.857142857,3.166666667,3,4,5,5,5
63938,Probability,OR,3.222222222,5,2.714285714,3,2,2,6,6,6
64509,Probability,OR,4,6,2.285714286,2.666666667,4,7,7,6,7
65042,Probability,OR,2.333333333,5.25,2.714285714,3,3.333333333,5,4,4,5
64190,Probability,OR,4.111111111,6,2.428571429,4,3,6,6,5,7
63762,Probability,OR,2.555555556,5.25,2.571428571,2.333333333,3.5,7,7,2,7
64094,Probability,OR,2,5,2.428571429,3.833333333,4,5,5,5,3
63776,Probability,OR,3.333333333,4.375,2.714285714,3.333333333,3.5,6,6,6,6
64353,Probability,OR,2.666666667,4.875,2.428571429,2.833333333,4.166666667,7,1,2,3
64089,Probability,OR,3.111111111,3.875,2,4,2.166666667,6,7,6,4
66285,Probability,OR,2.888888889,5.5,2.714285714,4.166666667,4,6,3,5,6
66171,Probability,OR,2.666666667,3.5,2.857142857,2.666666667,3,5,1,1,1
66415,Probability,OR,2.777777778,5,2,3.166666667,2.5,2,2,2,1
66485,Probability,OR,3.888888889,3,2.714285714,3,2.666666667,3,3,6,1
67111,Probability,OR,4,4.875,2,3.5,2.833333333,5,6,6,6
66464,Probability,OR,2.888888889,3,2.285714286,2.5,2.333333333,7,4,2,6
65322,Probability,OR,3.111111111,3.375,2.285714286,3,2.5,6,5,5,6
66772,Probability,OR,3.666666667,5.375,2.142857143,4,2.666666667,5,5,2,2
66690,Probability,OR,3,4.125,1.857142857,4.666666667,3.5,1,1,1,1
65903,Probability,OR,3.111111111,4.25,3.428571429,2.833333333,3.333333333,4,5,4,5
65146,Probability,OR,2.333333333,3.25,3,2.666666667,3.333333333,5,5,5,5
66511,Probability,OR,3.222222222,4.875,2.142857143,2.166666667,2.666666667,6,6,6,6
66738,Probability,OR,3.222222222,4.625,2.857142857,3.166666667,3.333333333,5,6,5,6
66233,Probability,OR,3.111111111,3.875,2.571428571,3.333333333,3.5,6,6,6,6
65737,Probability,OR,3.555555556,4.875,1.857142857,3,2.5,6,6,6,6
66719,Probability,OR,2.444444444,4.5,1.571428571,3.666666667,2,3,3,3,3
66250,Probability,OR,3.222222222,3.625,3.428571429,4,2.5,5,5,5,5
65967,Probability,OR,3,3.25,3,3.5,3.166666667,5,6,4,4
65740,Probability,OR,3.222222222,4.125,1.714285714,3.833333333,2.666666667,4,6,4,4
66416,Probability,OR,3.777777778,2.5,2.714285714,2.666666667,3.5,6,6,2,2
66637,Probability,OR,2.222222222,4.25,3.142857143,3,2.5,6,6,5,5
66980,Probability,OR,3.333333333,5.5,1.285714286,3.666666667,2.166666667,6,6,6,6
66308,Probability,OR,3.111111111,3.125,2,3.833333333,4,5,5,6,5
65901,Probability,OR,3.555555556,3.5,2.714285714,3.166666667,4.166666667,6,6,6,6
66459,Probability,OR,4.222222222,2.875,2,2.666666667,2.833333333,7,6,5,6
66593,Probability,OR,3.666666667,4.5,1.571428571,2.333333333,2.333333333,6,6,6,6
66603,Probability,OR,4.444444444,4.125,1.285714286,2.666666667,3.666666667,6,5,6,4
65986,Probability,OR,3.555555556,5.375,2.714285714,4,3.833333333,6,6,6,5
66656,Probability,OR,4.111111111,3.875,1.857142857,3.666666667,3.5,2,5,2,3
66303,Probability,OR,3.111111111,4.25,1.857142857,3.666666667,4,3,3,3,3
65785,Probability,OR,3.888888889,5.375,2.428571429,3.833333333,3.833333333,5,6,5,6
66592,Probability,OR,2.333333333,3.875,2.714285714,3.333333333,2.833333333,3,3,3,3
67053,Probability,OR,3.555555556,4.875,3.285714286,3.5,3,7,7,4,3
66803,Probability,OR,2.888888889,4.25,2.857142857,3,3.666666667,3,5,4,4
65955,Probability,OR,3.555555556,3.875,2.428571429,3.666666667,3.666666667,6,6,6,5
66546,Probability,OR,3.333333333,3.875,2.714285714,3.166666667,2.833333333,6,5,4,3
65999,Probability,OR,2.777777778,5.125,2.142857143,3.166666667,3.833333333,5,4,6,2
66483,Probability,OR,3.777777778,3.875,2.285714286,2,2,7,5,5,5
65260,Probability,OR,3.333333333,3.25,2.285714286,3,3.333333333,2,2,2,2
65463,Probability,OR,2.777777778,3.875,2.857142857,3.5,4,3,5,5,5
66263,Probability,OR,2.777777778,4.25,2,3,3.5,5,4,6,4
66270,Probability,OR,3.777777778,3.25,2.285714286,3.666666667,3,7,7,6,7
65263,Probability,OR,3.333333333,5.375,2,4,2.333333333,2,2,2,2
65754,Probability,OR,3,5.75,2.285714286,3,1.5,3,3,3,3
65338,Probability,OR,3,4.125,2.857142857,2.833333333,2.666666667,6,6,1,1
66494,Probability,OR,3.777777778,4.875,2.571428571,4.166666667,3.666666667,2,3,3,4
65505,Probability,OR,2.888888889,4.125,2.428571429,2.666666667,2.333333333,4,4,4,6
66995,Probability,OR,3.666666667,3.5,3,3.333333333,3,5,5,6,6
67076,Probability,OR,3.444444444,5.125,2.285714286,3.666666667,2.666666667,6,4,4,4
66062,Probability,OR,3.777777778,4.125,2.857142857,3.666666667,3.333333333,5,5,5,6
66923,Probability,OR,3.222222222,3.25,2.142857143,3.166666667,2.333333333,4,6,1,3
65212,Probability,OR,3.666666667,4.75,2.714285714,4.166666667,3.333333333,5,6,6,6
66657,Probability,OR,3.666666667,3.75,3.571428571,3.666666667,2.166666667,7,7,6,7
66518,Probability,OR,3.222222222,3,1.857142857,2.833333333,3.5,6,6,4,6
66425,Probability,OR,4.111111111,3.625,2.285714286,3.5,3.333333333,5,5,2,6
66707,Probability,OR,3.444444444,4,2.857142857,4,2.333333333,3,2,5,3
65878,Probability,OR,2.222222222,4.625,2.428571429,3.166666667,2.166666667,7,7,5,5
66720,Probability,OR,3.222222222,5.625,2.857142857,3.666666667,3.5,4,5,2,3
66655,Probability,OR,3.555555556,4.875,1.857142857,2.666666667,4.166666667,5,2,5,3
66776,Probability,OR,3.333333333,3.75,2.571428571,3,2.666666667,7,5,6,5
66047,Probability,OR,3.111111111,4.625,2.714285714,3,2.666666667,5,6,5,5
66996,Probability,OR,2.888888889,5.125,1.714285714,3.666666667,2,6,6,4,5
65394,Probability,OR,3.555555556,3.125,2.142857143,3.833333333,2.5,5,4,5,5
66971,Probability,OR,3,3.625,3,3,3,4,4,4,4
65309,Probability,OR,3,4.375,3,3,2.5,4,4,4,4
65270,Probability,OR,3.111111111,3.75,2.285714286,3.166666667,2.666666667,7,7,5,5
66410,Probability,OR,3.444444444,4.75,3,3.166666667,2.833333333,4,5,4,3
67094,Probability,OR,3.444444444,5.375,3,3,2.666666667,7,7,6,5
67298,Probability,OR,3.555555556,3.75,2.714285714,2.833333333,3.833333333,2,2,2,2
66942,Probability,OR,2.777777778,4.375,1.428571429,3.333333333,3,6,5,6,5
66351,Probability,OR,2.555555556,3.375,1.857142857,3.166666667,3.5,7,7,7,7
66273,Probability,OR,2.111111111,4.75,2,3.833333333,2,3,5,6,6
65807,Probability,OR,2.666666667,4.75,2.285714286,3,3,6,6,6,6
67179,Probability,OR,3,4.875,2.428571429,3.5,2.333333333,6,6,6,6
67305,Probability,OR,3.777777778,4.5,1.714285714,3.5,2.666666667,5,6,6,6
66832,Probability,OR,3.555555556,5.125,2.714285714,3.666666667,2.333333333,6,6,6,6
64950,Ambiguity,OR,2.555555556,3.375,2.714285714,3.333333333,3.166666667,6,5,6,6
64324,Ambiguity,OR,2.333333333,3.5,1.857142857,3.666666667,2.833333333,1,2,2,1
63664,Ambiguity,OR,2.111111111,4.25,2.428571429,3.666666667,3.333333333,2,2,1,2
64388,Ambiguity,OR,3.333333333,5.875,2.285714286,4,3.166666667,7,7,7,7
64627,Ambiguity,OR,2.777777778,4.375,2.571428571,2.833333333,3,5,5,5,5
64635,Ambiguity,OR,3.444444444,5.125,2.285714286,2.166666667,2.666666667,6,2,6,6
64713,Ambiguity,OR,4,4.25,2.285714286,2.5,2.666666667,2,3,2,2
65008,Ambiguity,OR,3.333333333,4.375,2.142857143,2.333333333,2.166666667,5,5,4,5
64118,Ambiguity,OR,3.666666667,5.25,2,3.5,3.333333333,3,3,3,2
64649,Ambiguity,OR,3.222222222,4.25,1.428571429,2.5,2.666666667,6,6,6,6
64110,Ambiguity,OR,2.555555556,3.625,3,3.166666667,3,3,4,4,4
64940,Ambiguity,OR,2.444444444,2.625,1.857142857,3.166666667,2.666666667,5,6,5,5
64210,Ambiguity,OR,3.444444444,4.875,1.714285714,3,3.666666667,3,7,3,2
64504,Ambiguity,OR,3,4.625,2.714285714,4,4.833333333,1,1,1,1
64533,Ambiguity,OR,3.111111111,3.875,3.142857143,3,3.5,2,2,2,2
64440,Ambiguity,OR,2.888888889,4.125,3.714285714,3.666666667,2.5,5,6,6,6
64428,Ambiguity,OR,4.111111111,3.875,2.571428571,4.5,4.5,7,7,7,7
64184,Ambiguity,OR,3.666666667,2.625,2.285714286,4,2.833333333,6,6,6,6
64517,Ambiguity,OR,3,4.625,2,3.833333333,3,6,6,4,6
64571,Ambiguity,OR,4,3.125,3.142857143,3.166666667,2.333333333,5,6,5,4
63750,Ambiguity,OR,4,4.75,3.285714286,4.166666667,3,7,2,5,5
63949,Ambiguity,OR,2.666666667,3.75,2.857142857,2.833333333,2.833333333,3,5,3,4
64344,Ambiguity,OR,3.222222222,3.5,2.714285714,3,2.333333333,7,5,2,2
63748,Ambiguity,OR,3.333333333,4,1.714285714,3.333333333,3.166666667,4,5,2,5
64338,Ambiguity,OR,3.111111111,4.75,2.142857143,2.666666667,2.666666667,6,6,6,6
63964,Ambiguity,OR,3.555555556,4.125,3.142857143,3.5,3,4,6,4,4
63952,Ambiguity,OR,3.777777778,4.875,2.285714286,3.5,2.666666667,3,5,6,5
64925,Ambiguity,OR,3.666666667,4.875,3.142857143,3.5,2,6,6,7,5
63694,Ambiguity,OR,3.555555556,3.75,2.714285714,2.666666667,3,6,6,6,6
63718,Ambiguity,OR,3.111111111,5.125,2,3.333333333,3,1,1,1,1
64403,Ambiguity,OR,3,3.625,3,3,3,5,4,4,2
63967,Ambiguity,OR,2.666666667,4.75,2.142857143,3.333333333,2.333333333,6,6,6,6
63704,Ambiguity,OR,3.888888889,4.5,2.285714286,3.833333333,3.166666667,6,5,6,5
63598,Ambiguity,OR,3.444444444,4.875,1.714285714,2.5,3.333333333,7,6,5,6
64405,Ambiguity,OR,4.333333333,3.5,2,3.5,3,6,6,7,6
64457,Ambiguity,OR,3.222222222,3.125,2.571428571,3.166666667,2.333333333,5,5,5,5
63609,Ambiguity,OR,3.888888889,5.5,2,3.833333333,3,6,6,6,7
63588,Ambiguity,OR,2,2.25,2.428571429,4,2.333333333,3,5,3,1
64689,Ambiguity,OR,3.111111111,5.5,3.285714286,3.5,2.166666667,6,4,5,4
63571,Ambiguity,OR,2.666666667,4.25,2.285714286,3,3.833333333,2,3,3,1
64168,Ambiguity,OR,3,5.875,2.142857143,3.666666667,2.666666667,5,5,3,2
63590,Ambiguity,OR,3.111111111,4.375,2.857142857,3.333333333,3.166666667,3,2,6,4
63857,Ambiguity,OR,2.777777778,3.875,2.428571429,3.166666667,3.5,2,2,2,2
64481,Ambiguity,OR,4,5.25,3,3.333333333,2.333333333,6,4,4,3
64320,Ambiguity,OR,2.555555556,3.375,2.857142857,2.166666667,2.833333333,2,5,2,3
63854,Ambiguity,OR,3.666666667,4.25,2.428571429,2.166666667,2.833333333,4,6,6,3
64922,Ambiguity,OR,3.555555556,5.375,2.285714286,4,2.833333333,7,6,5,5
63985,Ambiguity,OR,3.666666667,3.875,2.285714286,3.333333333,2.166666667,6,6,4,6
64718,Ambiguity,OR,3.111111111,5.625,2.285714286,3.666666667,2.833333333,5,5,2,3
66491,Ambiguity,OR,3.555555556,3.75,3,3,3,4,4,4,6
65881,Ambiguity,OR,4.444444444,4.625,2,4.166666667,3.666666667,5,5,5,3
66990,Ambiguity,OR,3.777777778,3.125,2.142857143,3.833333333,3,2,3,5,4
66522,Ambiguity,OR,3.111111111,4,3.142857143,3.833333333,2.666666667,3,5,3,3
66813,Ambiguity,OR,3.666666667,3.625,2,4,4,7,6,3,7
67229,Ambiguity,OR,4.222222222,3.75,2.857142857,2.833333333,2,2,6,4,1
65277,Ambiguity,OR,2.333333333,3.25,2.571428571,3,3.333333333,2,3,2,2
66017,Ambiguity,OR,2.666666667,4.25,1.285714286,2,3.666666667,2,2,2,2
65879,Ambiguity,OR,2.777777778,4,1.857142857,3.333333333,2.333333333,5,5,2,5
66926,Ambiguity,OR,3.222222222,3.75,2.142857143,2.833333333,3.5,5,3,2,6
65864,Ambiguity,OR,2.555555556,4.375,2.571428571,4,2.166666667,4,2,1,2
65862,Ambiguity,OR,3.111111111,5.375,2.142857143,2.833333333,3.833333333,2,1,2,5
65392,Ambiguity,OR,3,3.375,2.571428571,3.5,4.166666667,2,2,2,3
67019,Ambiguity,OR,3.666666667,4.5,2.428571429,4,2.666666667,5,6,6,6
66761,Ambiguity,OR,3.666666667,4.625,2.571428571,3.833333333,2.5,2,3,2,2
65373,Ambiguity,OR,3.555555556,5.375,2.571428571,4,3.333333333,5,6,6,5
66629,Ambiguity,OR,3.555555556,3.75,2.714285714,2.833333333,2.666666667,5,5,5,2
67182,Ambiguity,OR,1.555555556,5.25,1.857142857,3.5,3.833333333,6,6,4,5
65354,Ambiguity,OR,3,3,2.571428571,3,2,4,3,3,4
65850,Ambiguity,OR,2.333333333,2.625,3.714285714,3.333333333,3.5,6,6,5,5
66818,Ambiguity,OR,4.444444444,3.25,1.428571429,4,3.666666667,6,6,6,5
66335,Ambiguity,OR,3.777777778,4.125,2.857142857,4.166666667,3.5,1,1,1,1
66548,Ambiguity,OR,3.444444444,5.125,3,3.5,2.833333333,6,5,5,6
65722,Ambiguity,OR,2.777777778,3.75,3,3,4,2,1,1,1
66706,Ambiguity,OR,3.444444444,3,3.428571429,3.833333333,3.666666667,5,5,4,3
67034,Ambiguity,OR,3.666666667,1.375,2.428571429,3.5,2.833333333,6,6,6,7
66046,Ambiguity,OR,3.111111111,4,4,3.666666667,2,2,6,2,5
67058,Ambiguity,OR,3.444444444,4.25,2,3.5,2.5,6,6,6,6
66929,Ambiguity,OR,2.444444444,1.875,2.142857143,3.833333333,2.666666667,3,3,2,2
65768,Ambiguity,OR,3.666666667,1.875,1.571428571,3.333333333,2.5,4,2,2,6
66573,Ambiguity,OR,2.666666667,4.625,3,3.666666667,2.666666667,6,5,6,4
66632,Ambiguity,OR,3.111111111,4.25,2.142857143,4,3,1,2,2,1
65744,Ambiguity,OR,3.333333333,4,2.285714286,2.5,2.666666667,2,6,2,2
66016,Ambiguity,OR,3,4.25,2,3,3.5,7,7,7,2
65320,Ambiguity,OR,3.333333333,2.625,2.571428571,3.666666667,3.833333333,1,1,4,1
65987,Ambiguity,OR,3.555555556,5.25,2.142857143,2.333333333,3.833333333,2,2,2,2
65207,Ambiguity,OR,3.666666667,3.375,2.285714286,3.5,3.333333333,5,6,6,6
66759,Ambiguity,OR,4.222222222,5.125,2,3.5,3.666666667,7,7,7,7
66793,Ambiguity,OR,2.777777778,4.875,2,2.833333333,3.333333333,6,5,5,4
66055,Ambiguity,OR,2.888888889,3.75,3.428571429,4,3.666666667,4,5,3,4
66928,Ambiguity,OR,3.222222222,4.875,2.428571429,3.166666667,3,5,5,4,5
66433,Ambiguity,OR,1.888888889,4.375,2.285714286,2.166666667,3.666666667,2,5,5,5
66674,Ambiguity,OR,3.444444444,4.5,2.142857143,3.333333333,3.166666667,3,3,4,3
65230,Ambiguity,OR,2.888888889,4.75,2,3.333333333,2.5,5,5,6,5
65409,Ambiguity,OR,3.333333333,5,2.285714286,4,4,7,7,7,7
66180,Ambiguity,OR,2.888888889,4.25,3.571428571,3.666666667,3.5,6,4,5,5
67024,Ambiguity,OR,3.777777778,3.625,2.571428571,4.166666667,3.833333333,5,4,5,4
66256,Ambiguity,OR,3.888888889,3.875,2.428571429,2.833333333,4,6,3,7,6
66566,Ambiguity,OR,3.666666667,1.625,3.142857143,3.833333333,3.5,4,4,5,5
66993,Ambiguity,OR,3.666666667,4.625,2.714285714,4.166666667,3.166666667,5,4,6,5
65358,Ambiguity,OR,3.555555556,4.75,2.285714286,2.5,2.666666667,7,7,7,7
67032,Ambiguity,OR,3,4.375,2.571428571,3,2.5,5,5,2,5
66731,Ambiguity,OR,3.222222222,5.75,2,3,2.666666667,1,2,1,1
67283,Ambiguity,OR,3.222222222,3.125,3.142857143,3.333333333,2.833333333,5,4,5,5
65307,Ambiguity,OR,2.666666667,4.875,1.857142857,2.166666667,3.166666667,7,5,6,7
65162,Ambiguity,OR,1.777777778,2.875,2.571428571,3.666666667,4.5,2,4,5,2
66649,Ambiguity,OR,4.333333333,3.5,3.857142857,3.333333333,2.833333333,6,6,6,6
66683,Ambiguity,OR,4.777777778,5.125,2.571428571,4.833333333,3,4,4,4,4
65504,Ambiguity,OR,3.555555556,4.625,3,2.5,2.5,2,3,3,3
65222,Ambiguity,OR,3.333333333,3.875,2,3.333333333,2.333333333,6,7,6,6
65677,Ambiguity,OR,3.222222222,4.5,1.571428571,1.666666667,3.666666667,3,2,3,3
66531,Ambiguity,OR,2.777777778,5.25,1.714285714,2.666666667,3.333333333,6,6,6,6
66944,Ambiguity,OR,2.888888889,5,2.571428571,2.666666667,3.5,3,5,3,3
66777,Ambiguity,OR,3.111111111,6,3,3.5,2.666666667,2,2,2,6
66764,Ambiguity,OR,4.555555556,6,2.142857143,3.666666667,2,4,4,4,3
66474,Ambiguity,OR,3.777777778,2.625,2.571428571,3.333333333,3,2,4,2,2
65774,Ambiguity,OR,2.888888889,4.5,2.428571429,4,3.833333333,2,3,3,3
66320,Ambiguity,OR,3,4.625,2.428571429,2.333333333,2.666666667,7,6,6,6
65449,Ambiguity,OR,2.777777778,4.25,2.857142857,3,2.666666667,2,2,2,1
65253,Ambiguity,OR,2.222222222,6,2.285714286,3.333333333,2,6,7,5,2
67090,Ambiguity,OR,3.111111111,2.75,2.428571429,3.833333333,2.833333333,6,6,6,5
67307,Ambiguity,OR,2.777777778,4,3,3,2.666666667,2,4,4,1
65182,Ambiguity,OR,3.333333333,3.875,2.142857143,2.5,3,3,2,2,3
67087,Ambiguity,OR,3,5.625,2,3.666666667,3.5,5,5,5,5
65200,Ambiguity,OR,3.777777778,4.5,2.571428571,3.5,4,5,4,4,5
63568,Probability,AND,3,4.125,3.142857143,3.166666667,1.666666667,7,4,6,6
64712,Probability,AND,3.555555556,5,2.285714286,4.333333333,2.666666667,7,7,7,7
63633,Probability,AND,2.333333333,3.125,3.142857143,2.333333333,3.666666667,7,7,4,6
64206,Probability,AND,3.111111111,5.625,2.285714286,4,2.5,6,6,6,6
63779,Probability,AND,3.555555556,2.5,2.142857143,4.666666667,2.5,2,4,4,6
63585,Probability,AND,2.777777778,4.625,2.428571429,3.833333333,2,3,3,2,3
64990,Probability,AND,2.666666667,4.875,3.142857143,2.333333333,2.333333333,5,5,5,5
64902,Probability,AND,3.333333333,3.25,2,3.333333333,2.666666667,5,5,5,5
64193,Probability,AND,2.555555556,4.875,2.428571429,4,2.666666667,4,4,4,4
64930,Probability,AND,2.777777778,2.375,2.285714286,3.333333333,3.833333333,7,7,7,7
